User_id,Device_id,activity,activity_time,
U_000008,D_008,puzzle_001,2022-11-08 04:10:00.000 +0300,
U_000012,D_012,Level_Draw,2022-11-09 05:35:00.000 +0300,
U_000019,D_019,puzzle_010,2022-11-10 03:02:00.000 +0300,
U_000069,D_069,puzzle_001,2022-11-07 23:39:00.000 +0300,
U_000005,D_005,bonus_activate_003,2022-11-02 02:47:00.000 +0300,
U_000080,D_080,puzzle_007,2022-11-08 12:30:00.000 +0300,
U_000058,D_058,Product_Purchase_003,2022-11-02 12:52:00.000 +0300,
U_000035,D_035,puzzle_011,2022-11-08 10:48:00.000 +0300,
U_000003,D_003,puzzle_005,2022-11-10 20:05:00.000 +0300,
U_000006,D_006,Level_Draw,2022-11-03 21:22:00.000 +0300,
U_000034,D_034,Crash,2022-11-10 04:08:00.000 +0300,
U_000070,D_070,puzzle_006,2022-11-02 07:30:00.000 +0300,
U_000073,D_073,puzzle_012,2022-11-06 22:34:00.000 +0300,
U_000052,D_052,puzzle_009,2022-11-02 07:47:00.000 +0300,
U_000028,D_028,puzzle_006,2022-11-05 11:34:00.000 +0300,
U_000077,D_077,Level_Win,2022-11-11 02:25:00.000 +0300,
U_000077,D_077,Crash,2022-11-06 03:50:00.000 +0300,
U_000064,D_064,puzzle_006,2022-11-09 13:15:00.000 +0300,
U_000012,D_012,bonus_activate_002,2022-11-09 03:11:00.000 +0300,
U_000060,D_060,puzzle_007,2022-11-04 00:59:00.000 +0300,
U_000049,D_049,bonus_activate_001,2022-11-10 19:30:00.000 +0300,
U_000025,D_025,Product_Purchase_003,2022-11-09 16:39:00.000 +0300,
U_000043,D_043,puzzle_002,2022-11-11 00:06:00.000 +0300,
U_000008,D_008,puzzle_012,2022-11-07 10:22:00.000 +0300,
U_000080,D_080,puzzle_005,2022-11-05 09:23:00.000 +0300,
U_000035,D_035,hall_of_fame,2022-11-09 16:10:00.000 +0300,
U_000074,D_074,bonus_activate_001,2022-11-04 16:51:00.000 +0300,
U_000062,D_062,Crash,2022-11-07 03:47:00.000 +0300,
U_000066,D_066,Product_Purchase_001,2022-11-04 18:11:00.000 +0300,
U_000066,D_066,bonus_activate_003,2022-11-01 19:44:00.000 +0300,
U_000028,D_028,puzzle_001,2022-11-04 00:48:00.000 +0300,
U_000031,D_031,Ping,2022-11-08 17:40:00.000 +0300,
U_000003,D_003,puzzle_006,2022-11-03 03:26:00.000 +0300,
U_000025,D_025,puzzle_012,2022-11-09 19:48:00.000 +0300,
U_000075,D_075,Level_Lose,2022-11-10 03:07:00.000 +0300,
U_000042,D_042,puzzle_010,2022-11-08 03:36:00.000 +0300,
U_000061,D_061,puzzle_002,2022-11-02 11:39:00.000 +0300,
U_000053,D_053,Product_Purchase_001,2022-11-08 03:28:00.000 +0300,
U_000074,D_074,Level_Win,2022-11-02 03:45:00.000 +0300,
U_000026,D_026,puzzle_005,2022-11-06 02:08:00.000 +0300,
U_000074,D_074,puzzle_004,2022-11-06 13:26:00.000 +0300,
U_000001,D_001,puzzle_005,2022-11-06 08:05:00.000 +0300,
U_000063,D_063,puzzle_012,2022-11-05 00:09:00.000 +0300,
U_000057,D_057,puzzle_003,2022-11-09 22:53:00.000 +0300,
U_000025,D_025,Product_Purchase_001,2022-11-11 22:51:00.000 +0300,
U_000027,D_027,puzzle_009,2022-11-07 23:24:00.000 +0300,
U_000077,D_077,Market_Page,2022-11-02 03:59:00.000 +0300,
U_000061,D_061,bonus_activate_002,2022-11-09 16:33:00.000 +0300,
U_000075,D_075,puzzle_004,2022-11-05 10:04:00.000 +0300,
U_000052,D_052,puzzle_001,2022-11-10 01:45:00.000 +0300,
U_000064,D_064,Crash,2022-11-05 02:04:00.000 +0300,
U_000080,D_080,puzzle_002,2022-11-02 01:56:00.000 +0300,
U_000019,D_019,puzzle_005,2022-11-07 12:03:00.000 +0300,
U_000062,D_062,puzzle_010,2022-11-06 13:51:00.000 +0300,
U_000066,D_066,puzzle_006,2022-11-02 08:07:00.000 +0300,
U_000025,D_025,puzzle_006,2022-11-02 10:27:00.000 +0300,
U_000080,D_080,bonus_activate_001,2022-11-07 07:16:00.000 +0300,
U_000052,D_052,puzzle_006,2022-11-09 11:36:00.000 +0300,
U_000077,D_077,Ping,2022-11-01 05:25:00.000 +0300,
U_000008,D_008,puzzle_002,2022-11-10 05:00:00.000 +0300,
U_000042,D_042,puzzle_005,2022-11-09 15:15:00.000 +0300,
U_000032,D_032,puzzle_006,2022-11-11 01:17:00.000 +0300,
U_000052,D_052,puzzle_006,2022-11-06 00:31:00.000 +0300,
U_000039,D_039,bonus_activate_002,2022-11-11 18:15:00.000 +0300,
U_000056,D_056,puzzle_001,2022-11-06 23:36:00.000 +0300,
U_000052,D_052,puzzle_007,2022-11-08 01:39:00.000 +0300,
U_000037,D_037,puzzle_005,2022-11-01 20:44:00.000 +0300,
U_000064,D_064,Market_Page,2022-11-03 06:36:00.000 +0300,
U_000019,D_019,puzzle_006,2022-11-10 13:30:00.000 +0300,
U_000037,D_037,Level_Win,2022-11-11 02:15:00.000 +0300,
U_000053,D_053,puzzle_003,2022-11-07 09:33:00.000 +0300,
U_000050,D_050,bonus_activate_003,2022-11-04 17:34:00.000 +0300,
U_000005,D_005,puzzle_004,2022-11-06 13:54:00.000 +0300,
U_000031,D_031,puzzle_012,2022-11-09 14:54:00.000 +0300,
U_000027,D_027,Product_Purchase_002,2022-11-10 11:13:00.000 +0300,
U_000008,D_008,puzzle_011,2022-11-10 01:27:00.000 +0300,
U_000013,D_013,hall_of_fame,2022-11-07 01:12:00.000 +0300,
U_000015,D_015,hall_of_fame,2022-11-10 04:49:00.000 +0300,
U_000072,D_072,puzzle_009,2022-11-07 07:33:00.000 +0300,
U_000019,D_019,puzzle_004,2022-11-02 04:54:00.000 +0300,
U_000055,D_055,Level_Lose,2022-11-11 06:24:00.000 +0300,
U_000045,D_045,puzzle_012,2022-11-11 06:52:00.000 +0300,
U_000013,D_013,bonus_activate_002,2022-11-04 11:56:00.000 +0300,
U_000030,D_030,Level_Draw,2022-11-08 16:57:00.000 +0300,
U_000001,D_001,puzzle_002,2022-11-04 13:31:00.000 +0300,
U_000024,D_024,puzzle_005,2022-11-03 00:39:00.000 +0300,
U_000031,D_031,puzzle_006,2022-11-09 09:39:00.000 +0300,
U_000049,D_049,puzzle_009,2022-11-11 15:04:00.000 +0300,
U_000033,D_033,Crash,2022-11-01 12:56:00.000 +0300,
U_000050,D_050,Product_Purchase_003,2022-11-06 19:28:00.000 +0300,
U_000003,D_003,bonus_activate_001,2022-11-06 18:53:00.000 +0300,
U_000004,D_004,puzzle_005,2022-11-09 15:33:00.000 +0300,
U_000027,D_027,Level_Win,2022-11-02 11:15:00.000 +0300,
U_000019,D_019,Crash,2022-11-03 03:08:00.000 +0300,
U_000038,D_038,Level_Lose,2022-11-02 03:33:00.000 +0300,
U_000043,D_043,Level_Win,2022-11-02 08:46:00.000 +0300,
U_000067,D_067,puzzle_004,2022-11-09 09:37:00.000 +0300,
U_000072,D_072,Product_Purchase_002,2022-11-06 19:43:00.000 +0300,
U_000042,D_042,puzzle_004,2022-11-02 09:54:00.000 +0300,
U_000011,D_011,puzzle_008,2022-11-11 19:26:00.000 +0300,
U_000009,D_009,puzzle_003,2022-11-10 15:46:00.000 +0300,
U_000025,D_025,puzzle_003,2022-11-02 17:07:00.000 +0300,
U_000003,D_003,puzzle_012,2022-11-08 04:55:00.000 +0300,
U_000059,D_059,puzzle_005,2022-11-09 15:35:00.000 +0300,
U_000077,D_077,puzzle_012,2022-11-06 17:25:00.000 +0300,
U_000049,D_049,puzzle_005,2022-11-09 10:18:00.000 +0300,
U_000044,D_044,Product_Purchase_003,2022-11-02 07:39:00.000 +0300,
U_000060,D_060,puzzle_002,2022-11-01 22:34:00.000 +0300,
U_000056,D_056,bonus_activate_003,2022-11-02 00:04:00.000 +0300,
U_000067,D_067,puzzle_003,2022-11-08 08:32:00.000 +0300,
U_000015,D_015,Level_Draw,2022-11-04 09:43:00.000 +0300,
U_000066,D_066,puzzle_005,2022-11-03 21:16:00.000 +0300,
U_000044,D_044,bonus_activate_002,2022-11-05 04:06:00.000 +0300,
U_000050,D_050,bonus_activate_003,2022-11-04 12:02:00.000 +0300,
U_000061,D_061,puzzle_011,2022-11-02 17:59:00.000 +0300,
U_000080,D_080,puzzle_009,2022-11-05 21:41:00.000 +0300,
U_000049,D_049,puzzle_004,2022-11-01 18:02:00.000 +0300,
U_000043,D_043,puzzle_008,2022-11-08 01:46:00.000 +0300,
U_000064,D_064,puzzle_009,2022-11-01 03:40:00.000 +0300,
U_000075,D_075,Level_Draw,2022-11-10 13:58:00.000 +0300,
U_000021,D_021,puzzle_011,2022-11-05 11:45:00.000 +0300,
U_000062,D_062,Product_Purchase_003,2022-11-03 16:14:00.000 +0300,
U_000055,D_055,Level_Draw,2022-11-04 00:43:00.000 +0300,
U_000080,D_080,Level_Win,2022-11-04 16:37:00.000 +0300,
U_000052,D_052,Crash,2022-11-11 03:32:00.000 +0300,
U_000060,D_060,Level_Draw,2022-11-08 02:40:00.000 +0300,
U_000045,D_045,bonus_activate_003,2022-11-05 03:47:00.000 +0300,
U_000024,D_024,puzzle_008,2022-11-04 04:03:00.000 +0300,
U_000026,D_026,puzzle_012,2022-11-03 04:07:00.000 +0300,
U_000026,D_026,Level_Lose,2022-11-04 01:42:00.000 +0300,
U_000024,D_024,puzzle_011,2022-11-06 23:05:00.000 +0300,
U_000061,D_061,bonus_activate_001,2022-11-07 04:03:00.000 +0300,
U_000068,D_068,puzzle_009,2022-11-09 18:44:00.000 +0300,
U_000067,D_067,puzzle_009,2022-11-09 12:09:00.000 +0300,
U_000080,D_080,Market_Page,2022-11-07 03:12:00.000 +0300,
U_000065,D_065,puzzle_003,2022-11-05 02:28:00.000 +0300,
U_000019,D_019,bonus_activate_001,2022-11-04 14:20:00.000 +0300,
U_000061,D_061,puzzle_011,2022-11-05 07:12:00.000 +0300,
U_000070,D_070,Level_Lose,2022-11-02 00:23:00.000 +0300,
U_000025,D_025,puzzle_005,2022-11-08 22:17:00.000 +0300,
U_000019,D_019,puzzle_009,2022-11-04 20:32:00.000 +0300,
U_000063,D_063,puzzle_004,2022-11-02 15:09:00.000 +0300,
U_000014,D_014,Level_Lose,2022-11-02 04:41:00.000 +0300,
U_000043,D_043,puzzle_003,2022-11-07 02:13:00.000 +0300,
U_000012,D_012,Level_Win,2022-11-11 20:07:00.000 +0300,
U_000018,D_018,puzzle_002,2022-11-08 07:30:00.000 +0300,
U_000032,D_032,Level_Draw,2022-11-01 09:18:00.000 +0300,
U_000067,D_067,puzzle_009,2022-11-10 20:34:00.000 +0300,
U_000066,D_066,Level_Win,2022-11-05 16:19:00.000 +0300,
U_000026,D_026,puzzle_002,2022-11-06 09:24:00.000 +0300,
U_000030,D_030,bonus_activate_002,2022-11-07 17:42:00.000 +0300,
U_000043,D_043,puzzle_009,2022-11-09 18:19:00.000 +0300,
U_000034,D_034,puzzle_011,2022-11-08 09:09:00.000 +0300,
U_000063,D_063,puzzle_012,2022-11-06 18:46:00.000 +0300,
U_000039,D_039,puzzle_008,2022-11-08 18:41:00.000 +0300,
U_000061,D_061,puzzle_005,2022-11-09 04:24:00.000 +0300,
U_000070,D_070,Product_Purchase_003,2022-11-03 12:29:00.000 +0300,
U_000018,D_018,Product_Purchase_002,2022-11-09 05:55:00.000 +0300,
U_000025,D_025,puzzle_012,2022-11-01 10:19:00.000 +0300,
U_000019,D_019,puzzle_001,2022-11-05 22:20:00.000 +0300,
U_000032,D_032,puzzle_010,2022-11-05 22:18:00.000 +0300,
U_000072,D_072,bonus_activate_002,2022-11-09 16:49:00.000 +0300,
U_000023,D_023,puzzle_005,2022-11-07 15:48:00.000 +0300,
U_000078,D_078,puzzle_009,2022-11-07 23:20:00.000 +0300,
U_000077,D_077,puzzle_009,2022-11-11 20:55:00.000 +0300,
U_000043,D_043,bonus_activate_002,2022-11-02 12:42:00.000 +0300,
U_000049,D_049,puzzle_005,2022-11-01 04:06:00.000 +0300,
U_000027,D_027,puzzle_002,2022-11-10 23:23:00.000 +0300,
U_000028,D_028,puzzle_005,2022-11-10 04:45:00.000 +0300,
U_000053,D_053,puzzle_004,2022-11-08 16:58:00.000 +0300,
U_000046,D_046,puzzle_002,2022-11-03 22:01:00.000 +0300,
U_000059,D_059,puzzle_009,2022-11-01 00:54:00.000 +0300,
U_000013,D_013,puzzle_002,2022-11-07 00:56:00.000 +0300,
U_000014,D_014,Crash,2022-11-03 04:53:00.000 +0300,
U_000001,D_001,bonus_activate_001,2022-11-02 11:34:00.000 +0300,
U_000043,D_043,puzzle_004,2022-11-08 14:53:00.000 +0300,
U_000025,D_025,puzzle_005,2022-11-03 03:38:00.000 +0300,
U_000064,D_064,bonus_activate_003,2022-11-09 18:16:00.000 +0300,
U_000080,D_080,puzzle_006,2022-11-01 08:56:00.000 +0300,
U_000052,D_052,bonus_activate_001,2022-11-09 19:11:00.000 +0300,
U_000062,D_062,bonus_activate_001,2022-11-09 15:02:00.000 +0300,
U_000075,D_075,puzzle_011,2022-11-07 08:02:00.000 +0300,
U_000025,D_025,puzzle_012,2022-11-08 12:18:00.000 +0300,
U_000055,D_055,Level_Win,2022-11-11 13:32:00.000 +0300,
U_000013,D_013,Level_Draw,2022-11-06 11:34:00.000 +0300,
U_000014,D_014,bonus_activate_002,2022-11-07 03:42:00.000 +0300,
U_000039,D_039,Ping,2022-11-01 08:47:00.000 +0300,
U_000054,D_054,bonus_activate_002,2022-11-07 03:13:00.000 +0300,
U_000059,D_059,Product_Purchase_001,2022-11-06 21:37:00.000 +0300,
U_000078,D_078,bonus_activate_002,2022-11-10 16:17:00.000 +0300,
U_000003,D_003,bonus_activate_001,2022-11-11 11:27:00.000 +0300,
U_000021,D_021,Product_Purchase_002,2022-11-06 04:26:00.000 +0300,
U_000062,D_062,Market_Page,2022-11-07 22:35:00.000 +0300,
U_000081,D_081,Product_Purchase_001,2022-11-02 10:26:00.000 +0300,
U_000006,D_006,puzzle_002,2022-11-06 08:35:00.000 +0300,
U_000025,D_025,puzzle_007,2022-11-01 16:23:00.000 +0300,
U_000048,D_048,Level_Draw,2022-11-02 05:31:00.000 +0300,
U_000006,D_006,Level_Lose,2022-11-10 19:52:00.000 +0300,
U_000040,D_040,Market_Page,2022-11-02 21:10:00.000 +0300,
U_000055,D_055,puzzle_001,2022-11-10 09:00:00.000 +0300,
U_000061,D_061,Level_Draw,2022-11-11 04:01:00.000 +0300,
U_000053,D_053,hall_of_fame,2022-11-11 01:17:00.000 +0300,
U_000027,D_027,puzzle_004,2022-11-06 01:14:00.000 +0300,
U_000015,D_015,puzzle_003,2022-11-08 08:52:00.000 +0300,
U_000074,D_074,puzzle_001,2022-11-02 15:48:00.000 +0300,
U_000038,D_038,puzzle_007,2022-11-05 20:50:00.000 +0300,
U_000035,D_035,puzzle_002,2022-11-08 17:10:00.000 +0300,
U_000014,D_014,Crash,2022-11-07 01:15:00.000 +0300,
U_000057,D_057,puzzle_009,2022-11-04 16:11:00.000 +0300,
U_000064,D_064,puzzle_012,2022-11-10 01:13:00.000 +0300,
U_000070,D_070,puzzle_008,2022-11-11 09:56:00.000 +0300,
U_000048,D_048,puzzle_004,2022-11-11 08:26:00.000 +0300,
U_000021,D_021,Market_Page,2022-11-04 01:31:00.000 +0300,
U_000027,D_027,Level_Draw,2022-11-06 01:31:00.000 +0300,
U_000049,D_049,puzzle_010,2022-11-03 17:37:00.000 +0300,
U_000060,D_060,puzzle_005,2022-11-05 20:10:00.000 +0300,
U_000048,D_048,puzzle_012,2022-11-10 06:43:00.000 +0300,
U_000031,D_031,Level_Lose,2022-11-01 15:21:00.000 +0300,
U_000065,D_065,puzzle_003,2022-11-10 13:30:00.000 +0300,
U_000031,D_031,puzzle_002,2022-11-08 17:34:00.000 +0300,
U_000059,D_059,Product_Purchase_001,2022-11-02 12:35:00.000 +0300,
U_000055,D_055,Product_Purchase_003,2022-11-02 05:28:00.000 +0300,
U_000052,D_052,Level_Win,2022-11-09 05:29:00.000 +0300,
U_000056,D_056,Market_Page,2022-11-11 05:36:00.000 +0300,
U_000026,D_026,Product_Purchase_001,2022-11-04 01:40:00.000 +0300,
U_000065,D_065,Level_Win,2022-11-10 19:41:00.000 +0300,
U_000055,D_055,puzzle_001,2022-11-06 16:13:00.000 +0300,
U_000050,D_050,puzzle_001,2022-11-09 07:06:00.000 +0300,
U_000049,D_049,puzzle_005,2022-11-09 17:54:00.000 +0300,
U_000053,D_053,puzzle_010,2022-11-08 14:24:00.000 +0300,
U_000030,D_030,puzzle_007,2022-11-09 17:39:00.000 +0300,
U_000053,D_053,Level_Win,2022-11-07 00:40:00.000 +0300,
U_000066,D_066,puzzle_008,2022-11-08 12:10:00.000 +0300,
U_000076,D_076,Level_Win,2022-11-11 03:01:00.000 +0300,
U_000078,D_078,puzzle_010,2022-11-05 05:16:00.000 +0300,
U_000013,D_013,Crash,2022-11-11 19:19:00.000 +0300,
U_000024,D_024,Crash,2022-11-09 07:47:00.000 +0300,
U_000072,D_072,Market_Page,2022-11-09 02:35:00.000 +0300,
U_000026,D_026,puzzle_012,2022-11-04 07:02:00.000 +0300,
U_000057,D_057,puzzle_008,2022-11-10 03:57:00.000 +0300,
U_000030,D_030,bonus_activate_003,2022-11-08 06:21:00.000 +0300,
U_000046,D_046,bonus_activate_002,2022-11-06 10:58:00.000 +0300,
U_000058,D_058,bonus_activate_003,2022-11-11 18:30:00.000 +0300,
U_000072,D_072,bonus_activate_002,2022-11-02 23:37:00.000 +0300,
U_000025,D_025,puzzle_004,2022-11-04 05:51:00.000 +0300,
U_000077,D_077,Level_Win,2022-11-06 19:12:00.000 +0300,
U_000056,D_056,puzzle_012,2022-11-09 16:14:00.000 +0300,
U_000032,D_032,puzzle_007,2022-11-10 09:30:00.000 +0300,
U_000074,D_074,puzzle_008,2022-11-06 10:40:00.000 +0300,
U_000062,D_062,puzzle_003,2022-11-05 03:04:00.000 +0300,
U_000076,D_076,Level_Win,2022-11-11 20:32:00.000 +0300,
U_000070,D_070,bonus_activate_002,2022-11-10 14:18:00.000 +0300,
U_000057,D_057,puzzle_011,2022-11-02 03:38:00.000 +0300,
U_000072,D_072,Product_Purchase_002,2022-11-08 21:19:00.000 +0300,
U_000076,D_076,Product_Purchase_001,2022-11-02 06:26:00.000 +0300,
U_000076,D_076,Level_Win,2022-11-03 04:02:00.000 +0300,
U_000015,D_015,puzzle_003,2022-11-05 22:42:00.000 +0300,
U_000078,D_078,puzzle_010,2022-11-02 18:44:00.000 +0300,
U_000075,D_075,puzzle_012,2022-11-03 01:40:00.000 +0300,
U_000075,D_075,puzzle_011,2022-11-08 15:33:00.000 +0300,
U_000038,D_038,puzzle_001,2022-11-05 22:29:00.000 +0300,
U_000049,D_049,Market_Page,2022-11-04 09:38:00.000 +0300,
U_000072,D_072,Ping,2022-11-06 15:09:00.000 +0300,
U_000019,D_019,puzzle_010,2022-11-06 00:24:00.000 +0300,
U_000031,D_031,bonus_activate_002,2022-11-09 18:50:00.000 +0300,
U_000006,D_006,puzzle_010,2022-11-07 00:44:00.000 +0300,
U_000023,D_023,puzzle_008,2022-11-03 14:50:00.000 +0300,
U_000069,D_069,bonus_activate_003,2022-11-03 16:10:00.000 +0300,
U_000006,D_006,puzzle_004,2022-11-08 05:53:00.000 +0300,
U_000025,D_025,bonus_activate_001,2022-11-01 08:31:00.000 +0300,
U_000006,D_006,Market_Page,2022-11-02 09:38:00.000 +0300,
U_000046,D_046,puzzle_011,2022-11-01 14:54:00.000 +0300,
U_000013,D_013,puzzle_006,2022-11-02 13:58:00.000 +0300,
U_000043,D_043,Level_Win,2022-11-05 15:51:00.000 +0300,
U_000034,D_034,bonus_activate_002,2022-11-08 03:58:00.000 +0300,
U_000013,D_013,puzzle_004,2022-11-01 16:55:00.000 +0300,
U_000069,D_069,Market_Page,2022-11-08 19:00:00.000 +0300,
U_000073,D_073,Market_Page,2022-11-08 12:52:00.000 +0300,
U_000055,D_055,puzzle_003,2022-11-05 06:27:00.000 +0300,
U_000036,D_036,puzzle_008,2022-11-08 16:06:00.000 +0300,
U_000040,D_040,Level_Win,2022-11-09 21:58:00.000 +0300,
U_000024,D_024,puzzle_005,2022-11-07 01:55:00.000 +0300,
U_000081,D_081,puzzle_005,2022-11-08 07:04:00.000 +0300,
U_000006,D_006,Market_Page,2022-11-07 10:18:00.000 +0300,
U_000067,D_067,puzzle_006,2022-11-03 13:17:00.000 +0300,
U_000070,D_070,Level_Win,2022-11-10 00:34:00.000 +0300,
U_000035,D_035,Market_Page,2022-11-03 05:08:00.000 +0300,
U_000078,D_078,puzzle_001,2022-11-06 10:10:00.000 +0300,
U_000058,D_058,puzzle_002,2022-11-03 17:00:00.000 +0300,
U_000053,D_053,Crash,2022-11-10 06:33:00.000 +0300,
U_000078,D_078,puzzle_011,2022-11-05 23:33:00.000 +0300,
U_000005,D_005,Level_Lose,2022-11-11 22:41:00.000 +0300,
U_000078,D_078,Level_Draw,2022-11-05 12:47:00.000 +0300,
U_000026,D_026,puzzle_009,2022-11-07 12:53:00.000 +0300,
U_000001,D_001,Market_Page,2022-11-11 01:56:00.000 +0300,
U_000063,D_063,hall_of_fame,2022-11-11 21:16:00.000 +0300,
U_000044,D_044,bonus_activate_003,2022-11-04 14:56:00.000 +0300,
U_000036,D_036,puzzle_003,2022-11-04 12:01:00.000 +0300,
U_000052,D_052,puzzle_010,2022-11-04 01:17:00.000 +0300,
U_000030,D_030,puzzle_006,2022-11-08 13:04:00.000 +0300,
U_000006,D_006,puzzle_010,2022-11-02 19:36:00.000 +0300,
U_000055,D_055,puzzle_009,2022-11-05 07:14:00.000 +0300,
U_000049,D_049,puzzle_002,2022-11-07 19:39:00.000 +0300,
U_000077,D_077,bonus_activate_002,2022-11-08 05:25:00.000 +0300,
U_000013,D_013,puzzle_009,2022-11-10 05:43:00.000 +0300,
U_000027,D_027,Market_Page,2022-11-04 20:35:00.000 +0300,
U_000014,D_014,Level_Win,2022-11-06 21:14:00.000 +0300,
U_000060,D_060,puzzle_009,2022-11-06 06:46:00.000 +0300,
U_000053,D_053,puzzle_012,2022-11-11 06:20:00.000 +0300,
U_000071,D_071,puzzle_006,2022-11-02 10:16:00.000 +0300,
U_000014,D_014,puzzle_003,2022-11-08 03:14:00.000 +0300,
U_000061,D_061,bonus_activate_002,2022-11-11 13:20:00.000 +0300,
U_000011,D_011,Level_Win,2022-11-02 00:25:00.000 +0300,
U_000045,D_045,puzzle_009,2022-11-02 03:56:00.000 +0300,
U_000074,D_074,Market_Page,2022-11-03 12:04:00.000 +0300,
U_000053,D_053,puzzle_002,2022-11-02 01:20:00.000 +0300,
U_000024,D_024,puzzle_003,2022-11-03 02:15:00.000 +0300,
U_000074,D_074,puzzle_007,2022-11-03 02:24:00.000 +0300,
U_000053,D_053,Level_Draw,2022-11-08 20:01:00.000 +0300,
U_000062,D_062,puzzle_011,2022-11-01 04:35:00.000 +0300,
U_000067,D_067,puzzle_003,2022-11-09 02:18:00.000 +0300,
U_000049,D_049,Level_Lose,2022-11-10 05:49:00.000 +0300,
U_000055,D_055,bonus_activate_003,2022-11-02 01:54:00.000 +0300,
U_000026,D_026,puzzle_007,2022-11-10 03:56:00.000 +0300,
U_000038,D_038,puzzle_011,2022-11-09 04:30:00.000 +0300,
U_000046,D_046,puzzle_011,2022-11-08 19:15:00.000 +0300,
U_000021,D_021,Level_Win,2022-11-03 23:16:00.000 +0300,
U_000072,D_072,Product_Purchase_001,2022-11-04 08:21:00.000 +0300,
U_000074,D_074,puzzle_008,2022-11-06 02:55:00.000 +0300,
U_000022,D_022,Level_Lose,2022-11-07 11:27:00.000 +0300,
U_000067,D_067,Market_Page,2022-11-04 00:47:00.000 +0300,
U_000028,D_028,Market_Page,2022-11-07 02:25:00.000 +0300,
U_000076,D_076,puzzle_011,2022-11-11 21:59:00.000 +0300,
U_000077,D_077,puzzle_007,2022-11-08 04:13:00.000 +0300,
U_000023,D_023,bonus_activate_003,2022-11-03 16:49:00.000 +0300,
U_000035,D_035,bonus_activate_001,2022-11-10 10:28:00.000 +0300,
U_000074,D_074,puzzle_003,2022-11-07 21:31:00.000 +0300,
U_000027,D_027,puzzle_011,2022-11-05 00:56:00.000 +0300,
U_000027,D_027,puzzle_003,2022-11-09 13:22:00.000 +0300,
U_000006,D_006,Level_Win,2022-11-04 20:56:00.000 +0300,
U_000073,D_073,bonus_activate_002,2022-11-09 23:46:00.000 +0300,
U_000057,D_057,bonus_activate_001,2022-11-02 06:41:00.000 +0300,
U_000080,D_080,puzzle_002,2022-11-07 22:19:00.000 +0300,
U_000021,D_021,Ping,2022-11-01 02:27:00.000 +0300,
U_000060,D_060,Level_Draw,2022-11-10 11:30:00.000 +0300,
U_000076,D_076,puzzle_012,2022-11-10 08:06:00.000 +0300,
U_000032,D_032,puzzle_002,2022-11-06 00:55:00.000 +0300,
U_000032,D_032,puzzle_009,2022-11-05 07:19:00.000 +0300,
U_000079,D_079,Ping,2022-11-08 18:22:00.000 +0300,
U_000012,D_012,puzzle_006,2022-11-02 12:04:00.000 +0300,
U_000058,D_058,puzzle_003,2022-11-09 05:30:00.000 +0300,
U_000062,D_062,puzzle_002,2022-11-11 05:25:00.000 +0300,
U_000025,D_025,hall_of_fame,2022-11-03 12:44:00.000 +0300,
U_000080,D_080,hall_of_fame,2022-11-08 17:47:00.000 +0300,
